county,precinct,office,district,candidate,party,votes
Turner,1,President,,Donald J. Trump,REP,621
Turner,2,President,,Donald J. Trump,REP,664
Turner,3,President,,Donald J. Trump,REP,242
Turner,4,President,,Donald J. Trump,REP,204
Turner,5,President,,Donald J. Trump,REP,384
Turner,6,President,,Donald J. Trump,REP,332
Turner,7,President,,Donald J. Trump,REP,102
Turner,8,President,,Donald J. Trump,REP,388
Turner,TOTAL,President,,Donald J. Trump,REP,2937
Turner,1,President,,Gary Johnson,LIB,35
Turner,2,President,,Gary Johnson,LIB,58
Turner,3,President,,Gary Johnson,LIB,12
Turner,4,President,,Gary Johnson,LIB,10
Turner,5,President,,Gary Johnson,LIB,23
Turner,6,President,,Gary Johnson,LIB,30
Turner,7,President,,Gary Johnson,LIB,18
Turner,8,President,,Gary Johnson,LIB,30
Turner,TOTAL,President,,Gary Johnson,LIB,216
Turner,1,President,,Hillary Clinton,DEM,163
Turner,2,President,,Hillary Clinton,DEM,208
Turner,3,President,,Hillary Clinton,DEM,64
Turner,4,President,,Hillary Clinton,DEM,60
Turner,5,President,,Hillary Clinton,DEM,139
Turner,6,President,,Hillary Clinton,DEM,135
Turner,7,President,,Hillary Clinton,DEM,53
Turner,8,President,,Hillary Clinton,DEM,139
Turner,TOTAL,President,,Hillary Clinton,DEM,961
Turner,1,President,,Darrell L. Castle,CON,12
Turner,2,President,,Darrell L. Castle,CON,4
Turner,3,President,,Darrell L. Castle,CON,1
Turner,4,President,,Darrell L. Castle,CON,5
Turner,5,President,,Darrell L. Castle,CON,4
Turner,6,President,,Darrell L. Castle,CON,6
Turner,7,President,,Darrell L. Castle,CON,1
Turner,8,President,,Darrell L. Castle,CON,3
Turner,TOTAL,President,,Darrell L. Castle,CON,36
Turner,1,U.S. Senate,,John R. Thune,REP,669
Turner,2,U.S. Senate,,John R. Thune,REP,752
Turner,3,U.S. Senate,,John R. Thune,REP,267
Turner,4,U.S. Senate,,John R. Thune,REP,227
Turner,5,U.S. Senate,,John R. Thune,REP,432
Turner,6,U.S. Senate,,John R. Thune,REP,360
Turner,7,U.S. Senate,,John R. Thune,REP,131
Turner,8,U.S. Senate,,John R. Thune,REP,451
Turner,TOTAL,U.S. Senate,,John R. Thune,REP,3289
Turner,1,U.S. Senate,,Jay Williams,DEM,168
Turner,2,U.S. Senate,,Jay Williams,DEM,190
Turner,3,U.S. Senate,,Jay Williams,DEM,58
Turner,4,U.S. Senate,,Jay Williams,DEM,53
Turner,5,U.S. Senate,,Jay Williams,DEM,112
Turner,6,U.S. Senate,,Jay Williams,DEM,129
Turner,7,U.S. Senate,,Jay Williams,DEM,45
Turner,8,U.S. Senate,,Jay Williams,DEM,116
