county,precinct,office,district,party,candidate,votes,,,
Tripp,Clearfield Consolodated,US House,1,LIB,George D.Hendrickson,0,,,
Tripp,Colome Consolidated,US House,1,LIB,George D.Hendrickson,6,,,
Tripp,Hamill Consolidated,US House,1,LIB,George D.Hendrickson,0,,,
Tripp,Ideal Consolidated,US House,1,LIB,George D.Hendrickson,2,,,
Tripp,Lake Consolidated,US House,1,LIB,George D.Hendrickson,2,,,
Tripp,Lamro Consolidated,US House,1,LIB,George D.Hendrickson,2,,,
Tripp,Sully Consolodated,US House,1,LIB,George D.Hendrickson,2,,,
Tripp,WINNER Consolidated SE 1st,US House,1,LIB,George D.Hendrickson,2,,,
Tripp,WINNER Consolodated-E 2nd,US House,1,LIB,George D.Hendrickson,1,,,
Tripp,WINNER Consolodated-E 3rd,US House,1,LIB,George D.Hendrickson,1,,,
Tripp,WINNER Consolodated-W 2nd,US House,1,LIB,George D.Hendrickson,3,,,
Tripp,WINNER Consolodated-W 3rd,US House,1,LIB,George D.Hendrickson,3,,,
Tripp,Witten Consolodated,US House,1,LIB,George D.Hendrickson,0,,,
Tripp,Clearfield Consolodated,US House,1,REP,Dusty Johnson,98,,,
Tripp,Colome Consolidated,US House,1,REP,Dusty Johnson,253,,,
Tripp,Hamill Consolidated,US House,1,REP,Dusty Johnson,67,,,
Tripp,Ideal Consolidated,US House,1,REP,Dusty Johnson,55,,,
Tripp,Lake Consolidated,US House,1,REP,Dusty Johnson,117,,,
Tripp,Lamro Consolidated,US House,1,REP,Dusty Johnson,234,,,
Tripp,Sully Consolodated,US House,1,REP,Dusty Johnson,72,,,
Tripp,WINNER Consolidated SE 1st,US House,1,REP,Dusty Johnson,104,,,
Tripp,WINNER Consolodated-E 2nd,US House,1,REP,Dusty Johnson,172,,,
Tripp,WINNER Consolodated-E 3rd,US House,1,REP,Dusty Johnson,206,,,
Tripp,WINNER Consolodated-W 2nd,US House,1,REP,Dusty Johnson,232,,,
Tripp,WINNER Consolodated-W 3rd,US House,1,REP,Dusty Johnson,131,,,
Tripp,Witten Consolodated,US House,1,REP,Dusty Johnson,73,,,
Tripp,Clearfield Consolodated,US House,1,DEM,Tim Bjorkman,35,,,
Tripp,Colome Consolidated,US House,1,DEM,Tim Bjorkman,83,,,
Tripp,Hamill Consolidated,US House,1,DEM,Tim Bjorkman,11,,,
Tripp,Ideal Consolidated,US House,1,DEM,Tim Bjorkman,12,,,
Tripp,Lake Consolidated,US House,1,DEM,Tim Bjorkman,25,,,
Tripp,Lamro Consolidated,US House,1,DEM,Tim Bjorkman,72,,,
Tripp,Sully Consolodated,US House,1,DEM,Tim Bjorkman,29,,,
Tripp,WINNER Consolidated SE 1st,US House,1,DEM,Tim Bjorkman,30,,,
