county,precinct,office,district,party,candidate,votes
Yankton,JoDean's Steakhouse and Lounge,US House,,Lbt,George Hendrickson,16
Yankton,Yankton City Hall,US House,,Lbt,George Hendrickson,17
Yankton,Gayville Community Center,US House,,Lbt,George Hendrickson,2
Yankton,Lesterville Fire Hall,US House,,Lbt,George Hendrickson,3
Yankton,National Field Archery Assoc.,US House,,Lbt,George Hendrickson,11
Yankton,Mayfield Store,US House,,Lbt,George Hendrickson,2
Yankton,Lewis and Clark Rec Area,US House,,Lbt,George Hendrickson,2
Yankton,Absentee Precinct,US House,,Lbt,George Hendrickson,50
Yankton,JoDean's Steakhouse and Lounge,US House,,Rep,Dusty Johnson,"1,138"
Yankton,Yankton City Hall,US House,,Rep,Dusty Johnson,741
Yankton,Gayville Community Center,US House,,Rep,Dusty Johnson,189
Yankton,Lesterville Fire Hall,US House,,Rep,Dusty Johnson,160
Yankton,National Field Archery Assoc.,US House,,Rep,Dusty Johnson,338
Yankton,Mayfield Store,US House,,Rep,Dusty Johnson,143
Yankton,Lewis and Clark Rec Area,US House,,Rep,Dusty Johnson,300
Yankton,Absentee Precinct,US House,,Rep,Dusty Johnson,"2,182"
Yankton,JoDean's Steakhouse and Lounge,US House,,Dem,Tim Bjorkman,559
Yankton,Yankton City Hall,US House,,Dem,Tim Bjorkman,581
Yankton,Gayville Community Center,US House,,Dem,Tim Bjorkman,121
Yankton,Lesterville Fire Hall,US House,,Dem,Tim Bjorkman,65
Yankton,National Field Archery Assoc.,US House,,Dem,Tim Bjorkman,180
Yankton,Mayfield Store,US House,,Dem,Tim Bjorkman,98
Yankton,Lewis and Clark Rec Area,US House,,Dem,Tim Bjorkman,121
Yankton,Absentee Precinct,US House,,Dem,Tim Bjorkman,"1,658"
Yankton,JoDean's Steakhouse and Lounge,US House,,Ind,Ron Wieczorek,43
Yankton,Yankton City Hall,US House,,Ind,Ron Wieczorek,46
Yankton,Gayville Community Center,US House,,Ind,Ron Wieczorek,4
Yankton,Lesterville Fire Hall,US House,,Ind,Ron Wieczorek,5
Yankton,National Field Archery Assoc.,US House,,Ind,Ron Wieczorek,14
Yankton,Mayfield Store,US House,,Ind,Ron Wieczorek,5
Yankton,Lewis and Clark Rec Area,US House,,Ind,Ron Wieczorek,7
Yankton,Absentee Precinct,US House,,Ind,Ron Wieczorek,81
Yankton,JoDean's Steakhouse and Lounge,Governor,,Lbt,Kurt Evans,31
Yankton,Yankton City Hall,Governor,,Lbt,Kurt Evans,32
Yankton,Gayville Community Center,Governor,,Lbt,Kurt Evans,6
Yankton,Lesterville Fire Hall,Governor,,Lbt,Kurt Evans,5
Yankton,National Field Archery Assoc.,Governor,,Lbt,Kurt Evans,10
Yankton,Mayfield Store,Governor,,Lbt,Kurt Evans,2
Yankton,Lewis and Clark Rec Area,Governor,,Lbt,Kurt Evans,2
Yankton,Absentee Precinct,Governor,,Lbt,Kurt Evans,46
Yankton,JoDean's Steakhouse and Lounge,Governor,,Rep,Kristi Noem,876
Yankton,Yankton City Hall,Governor,,Rep,Kristi Noem,555
Yankton,Gayville Community Center,Governor,,Rep,Kristi Noem,143
Yankton,Lesterville Fire Hall,Governor,,Rep,Kristi Noem,113
Yankton,National Field Archery Assoc.,Governor,,Rep,Kristi Noem,256
Yankton,Mayfield Store,Governor,,Rep,Kristi Noem,129
Yankton,Lewis and Clark Rec Area,Governor,,Rep,Kristi Noem,244
Yankton,Absentee Precinct,Governor,,Rep,Kristi Noem,"1,805"
Yankton,JoDean's Steakhouse and Lounge,Governor,,Dem,Billie Sutton,870
Yankton,Yankton City Hall,Governor,,Dem,Billie Sutton,820
Yankton,Gayville Community Center,Governor,,Dem,Billie Sutton,177
Yankton,Lesterville Fire Hall,Governor,,Dem,Billie Sutton,121
Yankton,National Field Archery Assoc.,Governor,,Dem,Billie Sutton,288
Yankton,Mayfield Store,Governor,,Dem,Billie Sutton,122
Yankton,Lewis and Clark Rec Area,Governor,,Dem,Billie Sutton,184
Yankton,Absentee Precinct,Governor,,Dem,Billie Sutton,"2,175"
Yankton,JoDean's Steakhouse and Lounge,Secretary of State,,Rep,Steve Barnett,"1,110"
Yankton,Yankton City Hall,Secretary of State,,Rep,Steve Barnett,763
Yankton,Gayville Community Center,Secretary of State,,Rep,Steve Barnett,204
Yankton,Lesterville Fire Hall,Secretary of State,,Rep,Steve Barnett,158
Yankton,National Field Archery Assoc.,Secretary of State,,Rep,Steve Barnett,340
Yankton,Mayfield Store,Secretary of State,,Rep,Steve Barnett,145
Yankton,Lewis and Clark Rec Area,Secretary of State,,Rep,Steve Barnett,291
Yankton,Absentee Precinct,Secretary of State,,Rep,Steve Barnett,"2,265"
Yankton,JoDean's Steakhouse and Lounge,Secretary of State,,Dem,Alexandra Frederick,531
Yankton,Yankton City Hall,Secretary of State,,Dem,Alexandra Frederick,540
Yankton,Gayville Community Center,Secretary of State,,Dem,Alexandra Frederick,98
Yankton,Lesterville Fire Hall,Secretary of State,,Dem,Alexandra Frederick,52
Yankton,National Field Archery Assoc.,Secretary of State,,Dem,Alexandra Frederick,175
Yankton,Mayfield Store,Secretary of State,,Dem,Alexandra Frederick,73
Yankton,Lewis and Clark Rec Area,Secretary of State,,Dem,Alexandra Frederick,124
Yankton,Absentee Precinct,Secretary of State,,Dem,Alexandra Frederick,"1,547"
Yankton,JoDean's Steakhouse and Lounge,Attorney General,,Rep,Jason Ravnsborg,"1,033"
Yankton,Yankton City Hall,Attorney General,,Rep,Jason Ravnsborg,702
Yankton,Gayville Community Center,Attorney General,,Rep,Jason Ravnsborg,171
Yankton,Lesterville Fire Hall,Attorney General,,Rep,Jason Ravnsborg,147
Yankton,National Field Archery Assoc.,Attorney General,,Rep,Jason Ravnsborg,313
Yankton,Mayfield Store,Attorney General,,Rep,Jason Ravnsborg,129
Yankton,Lewis and Clark Rec Area,Attorney General,,Rep,Jason Ravnsborg,266
Yankton,Absentee Precinct,Attorney General,,Rep,Jason Ravnsborg,"2,160"
Yankton,JoDean's Steakhouse and Lounge,Attorney General,,Dem,Randy Seiler,651
Yankton,Yankton City Hall,Attorney General,,Dem,Randy Seiler,648
Yankton,Gayville Community Center,Attorney General,,Dem,Randy Seiler,136
Yankton,Lesterville Fire Hall,Attorney General,,Dem,Randy Seiler,70
Yankton,National Field Archery Assoc.,Attorney General,,Dem,Randy Seiler,211
Yankton,Mayfield Store,Attorney General,,Dem,Randy Seiler,100
Yankton,Lewis and Clark Rec Area,Attorney General,,Dem,Randy Seiler,154
Yankton,Absentee Precinct,Attorney General,,Dem,Randy Seiler,"1,724"
Yankton,JoDean's Steakhouse and Lounge,State Auditor,,Rep,Rich Sattgast,"1,047"
Yankton,Yankton City Hall,State Auditor,,Rep,Rich Sattgast,701
Yankton,Gayville Community Center,State Auditor,,Rep,Rich Sattgast,178
Yankton,Lesterville Fire Hall,State Auditor,,Rep,Rich Sattgast,136
Yankton,National Field Archery Assoc.,State Auditor,,Rep,Rich Sattgast,309
Yankton,Mayfield Store,State Auditor,,Rep,Rich Sattgast,135
Yankton,Lewis and Clark Rec Area,State Auditor,,Rep,Rich Sattgast,288
Yankton,Absentee Precinct,State Auditor,,Rep,Rich Sattgast,"2,132"
Yankton,JoDean's Steakhouse and Lounge,State Auditor,,Dem,Tom Cool,535
Yankton,Yankton City Hall,State Auditor,,Dem,Tom Cool,569
Yankton,Gayville Community Center,State Auditor,,Dem,Tom Cool,109
Yankton,Lesterville Fire Hall,State Auditor,,Dem,Tom Cool,59
Yankton,National Field Archery Assoc.,State Auditor,,Dem,Tom Cool,184
Yankton,Mayfield Store,State Auditor,,Dem,Tom Cool,82
Yankton,Lewis and Clark Rec Area,State Auditor,,Dem,Tom Cool,119
Yankton,Absentee Precinct,State Auditor,,Dem,Tom Cool,"1,590"
Yankton,JoDean's Steakhouse and Lounge,State Treasurer,,Rep,Josh Haeder,"1,019"
Yankton,Yankton City Hall,State Treasurer,,Rep,Josh Haeder,686
Yankton,Gayville Community Center,State Treasurer,,Rep,Josh Haeder,171
Yankton,Lesterville Fire Hall,State Treasurer,,Rep,Josh Haeder,133
Yankton,National Field Archery Assoc.,State Treasurer,,Rep,Josh Haeder,295
